"","strato","N","total","total_var","total_cv","total_se","total_deff","nd","DEPARTAMENTO","CLASE","SEXO","TOTAL_PET","DPNOM","TOTAL","PORC_PET","Exclusion_n","Exclusion_DEFF","Exclusion","Flag","varianza","ln_sigma2","var_est","eblup_var_su","eblup_var_or","cv_eblup_var_su","cv_eblup_var_or","diff"
"1","Bogota_U_H",3782168,2003562.98597457,9815046471.72485,0.0494473680489456,99070.9163767291,2.44362998785343,888,11,"Urbano","Hombre",3170870,"Bogota",3754795,84.4485517851174,0,0,0,"Incluir",9815046471.72485,23.0071823994293,18398632404.4049,1636097.87753535,1677671.15524663,4.07212266363868,3.50435720640969,-0.568120622202049
"2","Bogota_U_M",4117692,1594116.38484953,6882509271.5492,0.0520419279296385,82960.8900117953,1.80882706047574,1058,11,"Urbano","Mujer",3527416,"Bogota",4088058,86.2858599364295,0,0,0,"Incluir",6882509271.5492,22.6522491420995,11941163566.4796,1673773.7329148,1667844.47339224,3.86184979304564,3.38292035970459,-0.484580657027077
"3","Antioquia_U_H",2597322,1364488,3287006996.01543,0.0420175372342284,57332.4253456578,3.38268799625886,1731,5,"Urbano","Hombre",2158126,"Antioquia",2567741,84.0476512233905,0,0,0,"Incluir",3287006996.01543,21.9132432600155,2180103089.47124,1254411.49243993,1216899.55497952,3.0939658654208,3.54797622433894,0.448205438785728
"4","Antioquia_U_M",2888531,986547,2299923741.7311,0.04861149056165,47957.5201791241,2.52308930068966,2058,5,"Urbano","Mujer",2462010,"Antioquia",2857180,86.1692298000126,0,0,0,"Incluir",2299923741.7311,21.5561418035628,1499294187.27037,1041386.64859965,1066348.99178897,3.27813302635611,3.6732296738193,0.377969889847811
"5","Valle del Cauca_U_H",1835902,879831,1706797595.06104,0.0469560710694037,41313.4069650645,3.17614071229972,1565,76,"Urbano","Hombre",1508346,"Valle del Cauca",1852264,81.4325603693642,0,0,0,"Incluir",1706797595.06104,21.2578847002433,1068550245.03745,853669.17976158,840384.674720452,3.43412137764061,4.09983065203566,0.660437587484197
"6","Cundinamarca_U_H",1275732,709471,4736244375.87633,0.097002382931578,68820.3776208496,4.71714609653179,401,25,"Urbano","Hombre",999846,"Cundinamarca",1216453,82.1935578275527,0,0,0,"Incluir",4736244375.87633,22.278510332833,2388070707.05492,626244.951324138,583827.72378486,6.20098474169299,7.75980263212409,1.59859082798556
"7","Atlantico_U_H",1282182,685514.748607985,939354618.225724,0.0447093117578296,30648.8926101046,3.11285173798372,1355,8,"Urbano","Hombre",1024916,"Atlantico",1280444,80.0437973078088,0,0,0,"Incluir",939354618.225724,20.6607036210712,647844278.932149,661524.649602975,649885.064634454,3.57879241259526,4.21175608767095,0.639613561506423
"8","Valle del Cauca_U_M",2082996,649984,1185194379.61121,0.0529653840243245,34426.6521696666,2.30129537877874,1808,76,"Urbano","Mujer",1768817,"Valle del Cauca",2102477,84.1301474403763,0,0,0,"Incluir",1185194379.61121,20.8931726315087,782745053.84383,686314.775423905,705712.299901011,3.7664264371846,4.29165458641632,0.507506284188524
"9","Cundinamarca_U_M",1268396,512989,2912987679.69368,0.105211029745855,53972.1009382966,3.24096843226567,432,25,"Urbano","Mujer",1087574,"Cundinamarca",1295037,83.9801488297246,0,0,0,"Incluir",2912987679.69368,21.7924450854928,1707022109.27809,516778.100861531,519018.851076764,6.72493060105452,7.7608375972909,1.05024135036812
"10","Santander_U_H",872969,455280,613580623.288536,0.0544073089261557,24770.5596079002,4.45323717716386,1379,68,"Urbano","Hombre",713241,"Santander",859889,82.9457057829557,0,0,0,"Incluir",613580623.288536,20.2348222287842,308636855.840543,446889.582008557,438149.704110363,3.79004277672949,5.22783362743777,1.4521274132034
